Proteome ID	Organism	Organism ID	Protein count	Taxon mnemonic	Taxonomic lineage	proteome-components	Genome assembly ID
UP000004595	Halobacterium sp. DL1 (Strain: DL1)	751944	3265		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halobacterium	Chromosome; Plasmid	GCA_000230955.3
UP000010469	Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / IC-154) (Strain: DSM 15908 / JCM 11604 / IC-154)	1056495	1477	CALLD	Archaea, Crenarchaeota, Thermoprotei, Acidilobales, Caldisphaeraceae, Caldisphaera	Chromosome	GCA_000317795.1
UP000075539	Theionarchaea archaeon DG-70-1	1803814	4270		Archaea, Euryarchaeota, Theionarchaea	Unassembled WGS sequence	GCA_001595815.1
UP000050535	Halolamina pelagica (Strain: CDK2)	699431	3464		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae	Unassembled WGS sequence	GCA_001307315.1
UP000000365	Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z) (Strain: ATCC 43576 / DSM 4855 / Z)	410358	1739	METLZ	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales, Methanocorpusculaceae, Methanocorpusculum	Chromosome	GCA_000015765.1
UP000223005	Natrinema sp. CBA1119 (Strain: CBA1119)	1608465	4602		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natrinema	Unassembled WGS sequence	GCA_002572525.1
UP000027027	Halostagnicola sp. A56 (Strain: A56)	1495067	2711		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Halostagnicola	Unassembled WGS sequence	GCA_000691505.2
UP000001567	Pyrobaculum arsenaticum (strain DSM 13514 / JCM 11321) (Strain: DSM 13514 / JCM 11321)	340102	2296	PYRAR	Archaea, Crenarchaeota, Thermoprotei, Thermoproteales, Thermoproteaceae, Pyrobaculum	Chromosome	GCA_000016385.1
UP000008156	Methanosarcina barkeri (strain Fusaro / DSM 804) (Strain: Fusaro / DSM 804)	269797	3616	METBF	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina	Chromosome; Plasmid pMbar1	GCA_000195895.1
UP000000595	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia) (Strain: ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88)	192952	3303	METMA	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina	Chromosome	GCA_000007065.1
UP000191661	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125 (Strain: DH1)	1300164	1961		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter	Unassembled WGS sequence	GCA_002072215.1
UP000240582	Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-G06	1978166	755		Archaea, Candidatus Marsarchaeota, Candidatus Marsarchaeota group 2	Unassembled WGS sequence	GCA_003019335.1
UP000216846	Candidatus Altiarchaeales archaeon ex4484_43	2012507	1178		Archaea, Euryarchaeota, Candidatus Altiarchaeales	Unassembled WGS sequence	GCA_002254945.1
UP000002698	Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / NBRC 14720 / NCIMB 2260 / Gabara) (Halobacterium pharaonis) (Strain: ATCC 35678 / DSM 2160 / CIP 103997 / NBRC 14720 / NCIMB 2260 / Gabara)	348780	2764	NATPD	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Haloarculaceae, Natronomonas	Chromosome; Plasmid PL23; Plasmid PL131	GCA_000026045.1
UP000009007	Methanoculleus bourgensis (strain ATCC 43281 / DSM 3045 / OCM 15 / MS2) (Methanogenium bourgense) (Strain: ATCC 43281 / DSM 3045 / OCM 15 / MS2)	1201294	2575	METBM	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales, Methanomicrobiaceae, Methanoculleus	Chromosome	GCA_000304355.2
UP000017840	Candidatus Halobonum tyrrellensis G22 (Strain: G22)	1324957	3445		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Candidatus Halobonum	Unassembled WGS sequence	GCA_000495475.1
UP000182290	Candidatus Altiarchaeum sp. CG2_30_32_3053	1803514	1351		Archaea, Euryarchaeota, Candidatus Altiarchaeales, Candidatus Altiarchaeum	Unassembled WGS sequence	GCA_001873845.1
UP000024332	Candidatus Acidianus copahuensis (Strain: ALE1)	1160895	2328		Archaea, Crenarchaeota, Thermoprotei, Sulfolobales, Sulfolobaceae, Acidianus	Unassembled WGS sequence	GCA_000632495.1
UP000006681	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017) (Strain: DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	572478	2493	VULDI	Archaea, Crenarchaeota, Thermoprotei, Thermoproteales, Thermoproteaceae, Vulcanisaeta	Chromosome	GCA_000148385.1
UP000054356	Halorubrum sp. J07HR59	1238428	1832		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum	Unassembled WGS sequence	GCA_000416045.1
UP000053922	Methanomassiliicoccales archaeon RumEn M2	1713725	1175		Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Methanomassiliicoccales, unclassified Methanomassiliicoccales	Unassembled WGS sequence	GCA_001421175.1
UP000226546	Nanoarchaeota archaeon	2026764	609		Archaea, Nanoarchaeota	Unassembled WGS sequence	GCA_002687775.1
UP000010878	Natronococcus occultus SP4 (Strain: SP4)	694430	4153		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronococcus	Plasmid 2; Chromosome; Plasmid 1	GCA_000328685.1
UP000070076	candidate divison MSBL1 archaeon SCGC-AAA261O19	1698277	779		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549225.1
UP000186851	Candidatus Odinarchaeota archaeon LCB_4	1841599	1584		Archaea, Asgard group, Candidatus Odinarchaeota	Unassembled WGS sequence	GCA_001940665.1
UP000186063	Candidatus Heimdallarchaeota archaeon LC_3	1841598	5374		Archaea, Asgard group, Candidatus Heimdallarchaeota	Unassembled WGS sequence	GCA_001940645.1
UP000053331	Halorubrum saccharovorum (Strain: H3)	2248	2334		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum	Unassembled WGS sequence	GCA_000700025.2
UP000075365	Candidatus Bathyarchaeota archaeon B26-1	1779370	1185		Archaea, Candidatus Bathyarchaeota	Unassembled WGS sequence	GCA_001593925.1
UP000030787	Candidatus Methanoplasma termitum (Strain: Mpt1)	1577791	1393		Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Methanomassiliicoccales, Methanomassiliicoccaceae, Candidatus Methanoplasma	Chromosome	GCA_000800805.1
UP000006663	Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / PR3) (Strain: ATCC 700274 / DSM 11551 / JCM 10706 / PR3)	469382	3894	HALBP	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halogeometricum	Chromosome; Plasmid pHBOR01; Plasmid pHBOR02; Plasmid pHBOR03; Plasmid pHBOR04; Plasmid pHBOR05	GCA_000172995.2
UP000000590	Methanococcus maripaludis (strain S2 / LL) (Strain: S2 / LL)	267377	1722	METMP	Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanococcaceae, Methanococcus	Chromosome	GCA_000011585.1
UP000179238	archaeon RBG_16_50_20	1797286	1297		Archaea	Unassembled WGS sequence	GCA_001768965.1
UP000058925	Candidatus Nitrocosmicus oleophilus (Strain: MY3)	1353260	3684		Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus Nitrosocosmicus	Chromosome	GCA_000802205.2
UP000199370	Haloarchaeobius iranensis (Strain: EB21,IBRC-M 10013,KCTC 4048)	996166	3852		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Haloarchaeobius	Unassembled WGS sequence	GCA_900103505.1
UP000198531	Halogeometricum rufum (Strain: CGMCC 1.7736)	553469	4155		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Halogeometricum	Unassembled WGS sequence	GCA_900112175.1
UP000197418	Thermococcus pacificus (Strain: P-4)	71998	1872		Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus	Chromosome	GCA_002214485.1
UP000074294	Hadesarchaea archaeon YNP_45	1776334	1281		Archaea, Euryarchaeota, Hadesarchaea	Unassembled WGS sequence	GCA_001515205.2
UP000050312	Candidatus Bathyarchaeota archaeon BA1	1700835	2403		Archaea, Candidatus Bathyarchaeota	Unassembled WGS sequence	GCA_001399805.1
UP000053157	Haloferax sp. SB29 (Strain: SB29)	1544718	3440		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Haloferax	Unassembled WGS sequence	GCA_001469865.1
UP000009382	Nanosalinarum sp. (strain J07AB56)	889962	1402	NANSJ	Archaea, Euryarchaeota, Stenosarchaea group, Candidatus Nanohaloarchaeota, Nanohaloarchaea, Candidatus Nanosalinarum	Unassembled WGS sequence	GCA_000220355.1
UP000011568	Halococcus morrhuae DSM 1307 (Strain: DSM 1307)	931277	3035		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halococcaceae, Halococcus	Unassembled WGS sequence	GCA_000336695.1
UP000001882	Methanocella paludicola (strain DSM 17711 / JCM 13418 / NBRC 101707 / SANAE) (Strain: DSM 17711 / JCM 13418 / NBRC 101707 / SANAE)	304371	2993	METPS	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanocellales, Methanocellaceae, Methanocella	Chromosome	GCA_000011005.1
UP000215630	Candidatus Altiarchaeales archaeon ex4484_2	2012506	1481		Archaea, Euryarchaeota, Candidatus Altiarchaeales	Unassembled WGS sequence	GCA_002254565.1
UP000011555	Halobiforma lacisalsi AJ5 (Strain: AJ5)	358396	4151		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Halobiforma	Unassembled WGS sequence	GCA_000336655.1
UP000008037	Nitrososphaera gargensis (strain Ga9.2) (Strain: Ga9.2)	1237085	3523	NITGG	Archaea, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera	Chromosome	GCA_000303155.1
UP000011661	Natronorubrum sulfidifaciens JCM 14089 (Strain: JCM 14089)	1230460	3428		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronorubrum	Unassembled WGS sequence	GCA_000337735.1
UP000009379	Nanosalina sp. (strain J07AB43) (Strain: J07AB43)	889948	1673	NANS0	Archaea, Euryarchaeota, Stenosarchaea group, Candidatus Nanohaloarchaeota, Nanohaloarchaea, Candidatus Nanosalina	Unassembled WGS sequence	GCA_000220375.1
UP000011689	Halorubrum hochstenium ATCC 700873 (Strain: ATCC 700873)	1227481	2931		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum	Unassembled WGS sequence	GCA_000337075.1
UP000216308	Halorubrum halodurans (Strain: Cb34)	1383851	3137		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum	Unassembled WGS sequence	GCA_002252985.1
UP000030639	Halonotius sp. J07HN4 (Strain: J07HN4)	1070774	3224		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halonotius	Unassembled WGS sequence	GCA_000416065.1
UP000198848	Natronobacterium texcoconense (Strain: DSM 24767)	1095778	4046		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronobacterium	Unassembled WGS sequence	GCA_900104065.1
UP000010866	Methanomethylovorans hollandica (strain DSM 15978 / NBRC 107637 / DMS1) (Strain: DSM 15978 / NBRC 107637 / DMS1)	867904	2551	METHD	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanomethylovorans	Chromosome; Plasmid pMETHO01	GCA_000328665.1
UP000008136	Archaeoglobus veneficus (strain DSM 11195 / SNP6) (Strain: SNP6)	693661	2065	ARCVS	Archaea, Euryarchaeota, Archaeoglobi, Archaeoglobales, Archaeoglobaceae, Archaeoglobus	Chromosome	GCA_000194625.1
UP000011602	Natronolimnobius innermongolicus JCM 12255 (Strain: JCM 12255)	1227499	4400		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronolimnobius	Unassembled WGS sequence	GCA_000337215.1
UP000245934	Methanospirillum stamsii (Strain: Pt1)	1277351	3519		Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales, Methanospirillaceae, Methanospirillum	Unassembled WGS sequence	GCA_003173335.1
UP000019024	Halostagnicola larsenii XH-48 (Strain: XH-48)	797299	4086		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Halostagnicola	Plasmid; Chromosome	GCA_000517625.1
UP000008386	Pyrococcus yayanosii (strain CH1 / JCM 16557) (Strain: CH1 / JCM 16557)	529709	1865	PYRYC	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Pyrococcus	Chromosome	GCA_000215995.1
UP000002315	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S) (Strain: ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	523846	1283	METFV	Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanothermaceae, Methanothermus	Chromosome	GCA_000166095.1
UP000002146	Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1) (Strain: ATCC 35101 / DSM 1498 / JR1)	368407	2476	METMJ	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanomicrobiales, Methanomicrobiaceae, Methanoculleus	Chromosome	GCA_000015825.1
UP000001975	Haloquadratum walsbyi (strain DSM 16790 / HBSQ001) (Strain: DSM 16790 / HBSQ001)	362976	2558	HALWD	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae, Haloquadratum	Chromosome; Plasmid PL47	GCA_000009185.1
UP000017931	Thermoplasmatales archaeon I-plasma	667138	1693		Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Thermoplasmatales	Unassembled WGS sequence	GCA_001856825.1
UP000236565	Fervidicoccus sp.	2060324	1682		Archaea, Crenarchaeota, Thermoprotei, Fervidicoccales, Fervidicoccaceae, Fervidicoccus	Unassembled WGS sequence	GCA_002899805.1
UP000094786	Methanobrevibacter sp. A27 (Strain: A27)	1860099	1728		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobrevibacter	Unassembled WGS sequence	GCA_001729385.1
UP000236308	archaeon HR05	2035441	721		Archaea	Unassembled WGS sequence	GCA_002898445.1
UP000075614	Candidatus Bathyarchaeota archaeon B63	1779372	823		Archaea, Candidatus Bathyarchaeota	Unassembled WGS sequence	GCA_001593845.1
UP000241886	Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-G16	1978167	1224		Archaea, Candidatus Marsarchaeota, Candidatus Marsarchaeota group 2	Unassembled WGS sequence	GCA_003019385.1
UP000075398	Arc I group archaeon U1lsi0528_Bin055	1705409	2291		Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, unclassified Methanomicrobia, Arc I group	Unassembled WGS sequence	GCA_001587715.1
UP000075113	Hadesarchaea archaeon DG-33-1	1775755	951		Archaea, Euryarchaeota, Hadesarchaea	Unassembled WGS sequence	GCA_001515195.1
UP000070633	candidate divison MSBL1 archaeon SCGC-AAA382M17	1698284	356		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549475.1
UP000248984	Methanosphaera sp. rholeuAM6	1945580	1750		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanosphaera	Unassembled WGS sequence	GCA_003266105.1
UP000070171	candidate divison MSBL1 archaeon SCGC-AAA385M11	1698288	228		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549355.1
UP000236656	archaeon BMS3Bbin16	2005739	1292		Archaea	Unassembled WGS sequence	GCA_002898035.1
UP000010096	halophilic archaeon DL31 (Strain: DL31)	756883	3413		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales	Plasmid phalar01; Chromosome; Plasmid phalar02	GCA_000224475.1
UP000000752	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) (Strain: ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	70601	2077	PYRHO	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Pyrococcus	Chromosome	GCA_000011105.1
UP000000536	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1)) (Strain: ATCC BAA-918 / JCM 12380 / KOD1)	69014	2301	THEKO	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus	Chromosome	GCA_000009965.1
UP000007813	Halogranum salarium B-1 (Strain: B-1)	1210908	4824		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Haloferacaceae	Unassembled WGS sequence	GCA_000283335.1
UP000070504	candidate divison MSBL1 archaeon SCGC-AAA382K21	1698283	218		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549315.1
UP000007722	Methanococcus voltae (strain ATCC BAA-1334 / A3) (Strain: ATCC BAA-1334 / A3)	456320	1658	METV3	Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanococcaceae, Methanococcus	Chromosome	GCA_000006175.2
UP000094736	Methanobacterium sp. A39 (Strain: A39)	1860100	3065		Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanobacterium	Unassembled WGS sequence	GCA_001729285.1
UP000186165	Halodesulfurarchaeum formicicum (Strain: HSR6)	1873524	2099		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Halobacteriaceae, Halodesulfurarchaeum	Chromosome	GCA_001886955.1
UP000018894	Halorubrum sp. AJ67 (Strain: AJ67)	1173487	3364		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halorubrum	Unassembled WGS sequence	GCA_000513435.1
UP000178604	Candidatus Micrarchaeota archaeon RBG_16_36_9	1801632	791		Archaea, Candidatus Micrarchaeota	Unassembled WGS sequence	GCA_001786585.1
UP000070565	candidate divison MSBL1 archaeon SCGC-AAA261F19	1698275	687		Archaea, Euryarchaeota, candidate division MSBL1	Unassembled WGS sequence	GCA_001549215.1
UP000018159	Thaumarchaeota archaeon N4 (Strain: N4)	1407055	1946		Archaea, Thaumarchaeota, unclassified Thaumarchaeota	Unassembled WGS sequence	GCA_000723185.1
UP000002613	Ferroglobus placidus (strain DSM 10642 / AEDII12DO) (Strain: DSM 10642 / AEDII12DO)	589924	2463	FERPA	Archaea, Euryarchaeota, Archaeoglobi, Archaeoglobales, Archaeoglobaceae, Ferroglobus	Chromosome	GCA_000025505.1
UP000244727	Haloarculaceae archaeon HArcel1 (Strain: HArcel1)	1679096	2532		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Halobacteriales, Haloarculaceae	Chromosome	GCA_003058365.1
UP000184357	Halobaculum gomorrense (Strain: DSM 9297)	43928	3149		Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halobaculum	Unassembled WGS sequence	GCA_900129775.1
