Proteome ID	Organism	Organism ID	Protein count	Taxon mnemonic	Taxonomic lineage	proteome-components	genome assembly id
UP000242770	Sporisorium scitamineum	49012	7711		Eukaryota, Fungi, Dikarya, Basidiomycota, Ustilaginomycotina, Ustilaginomycetes, Ustilaginales, Ustilaginaceae, Sporisorium	Unassembled WGS sequence	GCA_001243155.1
UP000054343	Anncaliia algerae PRA109 (Strain: PRA109)	1240240	5143		Eukaryota, Fungi, Fungi incertae sedis, Microsporidia, Tubulinosematoidea, Tubulinosematidae, Anncaliia	Unassembled WGS sequence	GCA_000385855.2
UP000015464	Schizosaccharomyces cryophilus (strain OY26 / ATCC MYA-4695 / CBS 11777 / NBRC 106824 / NRRL Y48691) (Fission yeast) (Strain: OY26 / ATCC MYA-4695 / CBS 11777 / NBRC 106824 / NRRL Y48691)	653667	5150	SCHCR	Eukaryota, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces	Unassembled WGS sequence	GCA_000004155.2
UP000005220	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276) (Yeast) (Kluyveromyces africanus) (Strain: ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	1071382	5354	KAZAF	Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Kazachstania	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12	GCA_000304475.1
UP000006310	Kazachstania naganishii (strain ATCC MYA-139 / BCRC 22969 / CBS 8797 / CCRC 22969 / KCTC 17520 / NBRC 10181 / NCYC 3082) (Yeast) (Saccharomyces naganishii) (Strain: ATCC MYA-139 / BCRC 22969 / CBS 8797 / CCRC 22969 / KCTC 17520 / NBRC 10181 / NCYC 3082)	1071383	5301	KAZNA	Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Kazachstania	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13	GCA_000348985.1
UP000037923	Leptomonas pyrrhocoris	157538	9272		Eukaryota, Euglenozoa, Kinetoplastida, Trypanosomatidae, Leishmaniinae, Leptomonas	Unassembled WGS sequence	GCA_001293395.1
UP000054244	Apaloderma vittatum (Bar-tailed trogon)	57397	7903	APAVI	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Trogoniformes, Trogonidae, Apaloderma	Unassembled WGS sequence	GCA_000703405.1
UP000008536	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229) (Candida mogii) (Strain: ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229)	559307	4987	ZYGRC	Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Zygosaccharomyces	Chromosome A; Chromosome B; Chromosome C; Chromosome D; Chromosome E; Chromosome F; Chromosome G	GCA_000026365.1
UP000002039	Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586) (Blastomyces dermatitidis) (Strain: ER-3 / ATCC MYA-2586)	559297	10398	AJEDR	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Onygenales, Ajellomycetaceae, Blastomyces	Unassembled WGS sequence	GCA_000003525.2
UP000008022	Oryza rufipogon (Brownbeard rice) (Asian wild rice) (Strain: W1943)	4529	45598	ORYRU	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliophyta, Liliopsida, Poales, Poaceae, BOP clade, Oryzoideae, Oryzeae, Oryzinae, Oryza	Chloroplast; Unassembled WGS sequence	GCA_000817225.1
UP000232323	Chlamydomonas eustigma (Strain: NIES-2499)	1157962	14139		Eukaryota, Viridiplantae, Chlorophyta, Chlorophyceae, Chlamydomonadales, Chlamydomonadaceae, Chlamydomonas	Unassembled WGS sequence	GCA_002335675.1
UP000188268	Corchorus capsularis (Jute) (Strain: cv. CVL-1)	210143	29098	COCAP	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliophyta, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Malvales, Malvaceae, Grewioideae, Apeibeae, Corchorus	Unassembled WGS sequence	GCA_001974805.1
UP000036681	Ascaris lumbricoides (Giant roundworm)	6252	18566	ASCLU	Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Ascaridomorpha, Ascaridoidea, Ascarididae, Ascaris	Genome	GCA_000951055.1
UP000224522	Capsicum chinense (Scotch bonnet) (Bonnet pepper) (Strain: cv. PI159236)	80379	34757	CAPCH	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliophyta, eudicotyledons, Gunneridae, Pentapetalae, asterids, lamiids, Solanales, Solanaceae, Solanoideae, Capsiceae, Capsicum	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Unassembled WGS sequence	GCA_002271895.2
UP000192221	Drosophila ficusphila (Fruit fly)	30025	21120	DROFC	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Diptera, Brachycera, Muscomorpha, Ephydroidea, Drosophilidae, Drosophila, Sophophora	Genome assembly	GCF_000220665.1
UP000095085	Hyphopichia burtonii NRRL Y-1933 (Strain: NRRL Y-1933)	984485	5994		Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Hyphopichia	Unassembled WGS sequence	GCA_001661395.1
UP000037696	Penicillium nordicum (Strain: DAOMC 185683)	229535	12938		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium	Unassembled WGS sequence	GCA_001278595.1
UP000075884	Anopheles dirus (Strain: WRAIR2)	7168	13065		Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Diptera, Nematocera, Culicoidea, Culicidae, Anophelinae, Anopheles	Unassembled WGS sequence	GCA_000349145.1
UP000034112	Trichoderma harzianum (Hypocrea lixii) (Strain: T6776)	5544	11497	TRIHA	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreomycetidae, Hypocreales, Hypocreaceae, Trichoderma	Unassembled WGS sequence	GCA_000988865.1
UP000036680	Anisakis simplex (Herring worm)	6269	20788	ANISI	Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Ascaridomorpha, Ascaridoidea, Anisakidae, Anisakis, Anisakis simplex complex	Genome	GCA_000951095.1
UP000002059	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis) (Strain: ATCC MYA-826 / Pb01)	502779	8811	PARBA	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Onygenales, Onygenales incertae sedis, Paracoccidioides	Partially assembled WGS sequence	GCA_000150705.2
UP000001742	Enterocytozoon bieneusi (strain H348) (Microsporidian parasite) (Strain: H348)	481877	3311	ENTBH	Eukaryota, Fungi, Fungi incertae sedis, Microsporidia, Enterocytozoonidae, Enterocytozoon	Unassembled WGS sequence	GCA_000209485.1
UP000001881	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) (Strain: ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	771870	9890	SORMK	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariomycetidae, Sordariales, Sordariaceae, Sordaria	Unassembled WGS sequence	GCA_000182805.2
UP000031036	Toxocara canis (Canine roundworm)	6265	18499	TOXCA	Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Ascaridomorpha, Ascaridoidea, Toxocaridae, Toxocara	Unassembled WGS sequence	GCA_000803305.1
UP000245403	Pyrenophora tritici-repentis (Strain: ARCrossB10)	45151	12052		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Dothideomycetes, Pleosporomycetidae, Pleosporales, Pleosporineae, Pleosporaceae, Pyrenophora	Unassembled WGS sequence	GCA_003171545.1
UP000191518	Penicillium vulpinum (Strain: IBT 29486)	29845	10245		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium	Unassembled WGS sequence	GCA_002072255.1
UP000054144	Fistulina hepatica ATCC 64428 (Strain: ATCC 64428)	1128425	9322		Eukaryota, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Fistulinaceae, Fistulina	Unassembled WGS sequence	GCA_000934395.1
UP000027586	Lichtheimia corymbifera JMRC:FSU:9682 (Strain: JMRC:FSU:9682)	1263082	13257		Eukaryota, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Mucoromycetes, Mucorales, Lichtheimiaceae, Lichtheimia	Unassembled WGS sequence	GCA_000723665.1
UP000191500	Penicillium coprophilum (Strain: IBT 31321)	36646	8993		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium	Unassembled WGS sequence	GCA_002072405.1
UP000085678	Lingula unguis	7574	34415	LINUN	Eukaryota, Metazoa, Lophotrochozoa, Brachiopoda, Linguliformea, Lingulata, Lingulida, Linguloidea, Lingulidae, Lingula	Genome assembly	GCF_001039355.2
UP000235388	Puccinia coronata var. avenae f. sp. avenae	200324	25533		Eukaryota, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Pucciniomycetes, Pucciniales, Pucciniaceae, Puccinia	Unassembled WGS sequence	GCA_002873275.1
UP000014254	Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides) (Strain: 1006PhL)	1220926	12143	MUCC1	Eukaryota, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Mucoromycetes, Mucorales, Mucorineae, Mucoraceae, Mucor	Unassembled WGS sequence	GCA_000401635.1
UP000050602	Brugia timori	42155	16203		Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Spiruromorpha, Filarioidea, Onchocercidae, Brugia	Genome Assembly	GCA_000950975.1
UP000094285	Suhomyces tanzawaensis NRRL Y-17324 (Strain: NRRL Y-17324)	984487	5882		Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Debaryomycetaceae, Suhomyces	Unassembled WGS sequence	GCA_001661415.1
UP000053890	Rhodotorula graminis (strain WP1) (Strain: WP1)	578459	7228	RHOGW	Eukaryota, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Microbotryomycetes, Sporidiobolales, Sporidiobolaceae, Rhodotorula	Unassembled WGS sequence	GCA_001329695.1
UP000193689	Pseudomassariella vexata (Strain: CBS 129021)	1141098	12557		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Xylariomycetidae, Xylariales, Pseudomassariaceae, Pseudomassariella	Unassembled WGS sequence	GCA_002105095.1
UP000248340	Aspergillus uvarum CBS 121591 (Strain: CBS 121591)	1448315	12014		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus	Unassembled WGS sequence	GCA_003184745.1
UP000186601	Phlebia centrifuga (Strain: FBCC195)	98765	13628		Eukaryota, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Polyporales, Meruliaceae, Phlebia	Unassembled WGS sequence	GCA_001913855.2
UP000050795	Trichobilharzia regenti (Nasal bird schistosome)	157069	22169	TRIRE	Eukaryota, Metazoa, Platyhelminthes, Trematoda, Digenea, Strigeidida, Schistosomatoidea, Schistosomatidae, Trichobilharzia	Genome assembly	GCA_000950905.1
UP000244722	Tuber borchii (White truffle) (Strain: Tbo3840)	42251	12324	TUBBO	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Pezizomycetes, Pezizales, Tuberaceae, Tuber	Unassembled WGS sequence	GCA_003070745.1
UP000006906	Chlamydomonas reinhardtii (Chlamydomonas smithii) (Strain: CC-503)	3055	18828	CHLRE	Eukaryota, Viridiplantae, Chlorophyta, Chlorophyceae, Chlamydomonadales, Chlamydomonadaceae, Chlamydomonas	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chloroplast; Unassembled WGS sequence	GCA_000002595.3
UP000002277	Pan troglodytes (Chimpanzee)	9598	48771	PANTR	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Haplorrhini, Catarrhini, Hominidae, Pan	Chromosome 1; Chromosome 2A; Chromosome 2B; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 22; Chromosome X; Chromosome Y; Mitochondrion; Unplaced; Chromosome 21	GCA_000001515.5
UP000015104	Tetranychus urticae (Two-spotted spider mite) (Strain: London)	32264	17526	TETUR	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Trombidiformes, Prostigmata, Eleutherengona, Raphignathae, Tetranychoidea, Tetranychidae, Tetranychus	Unassembled WGS sequence	GCA_000239435.1
UP000002149	Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans) (Strain: JEC21 / ATCC MYA-565)	214684	6743	CRYNJ	Eukaryota, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Tremellales, Cryptococcaceae, Cryptococcus, Cryptococcus neoformans species complex	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14	GCA_000091045.1
UP000007266	Tribolium castaneum (Red flour beetle) (Strain: Georgia GA2)	7070	18505	TRICA	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Coleoptera, Polyphaga, Cucujiformia, Tenebrionidae, Tenebrionidae incertae sedis, Tribolium	Linkage group 1; Linkage group 2; Linkage group 3; Linkage group 4; Linkage group 5; Linkage group 6; Linkage group 7; Linkage group 8; Linkage group 9; Linkage group 10; Mitochondrion; Unassembled WGS sequence	GCA_000002335.3
UP000002280	Monodelphis domestica (Gray short-tailed opossum)	13616	22243	MONDO	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Metatheria, Didelphimorphia, Didelphidae, Monodelphis	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome X; Mitochondrion; Unplaced	
UP000001950	Theileria annulata (Strain: Ankara)	5874	3790	THEAN	Eukaryota, Alveolata, Apicomplexa, Aconoidasida, Piroplasmida, Theileriidae, Theileria	Chromosome 1 part 1; Chromosome 1 part 2; Chromosome 1 part 3; Chromosome 1 part 4; Chromosome 2; Chromosome 3; Chromosome 4; Mitochondrion	GCA_000003225.1
UP000024635	Ancylostoma ceylanicum (Strain: HY135)	53326	65375		Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Rhabditina, Rhabditomorpha, Strongyloidea, Ancylostomatidae, Ancylostomatinae, Ancylostoma	Unassembled WGS sequence	GCA_000688135.1
UP000009096	Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides) (Strain: M3125 / FGSC 7600)	334819	17877	GIBM7	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium fujikuroi species complex	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Mitochondrion; Unassembled WGS sequence	GCA_000149555.1
UP000006539	Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri)	13686	13	SOLIN	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Holometabola, Hymenoptera, Apocrita, Aculeata, Formicoidea, Formicidae, Myrmicinae, Solenopsis	Mitochondrion	GCA_000188075.2
UP000233040	Cebus capucinus imitator	1737458	40116		Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Mammalia, Eutheria, Euarchontoglires, Primates, Haplorrhini, Platyrrhini, Cebidae, Cebinae, Cebus	Whole Genome Shotgun Assembly	GCA_001604975.1
UP000228934	Lithobates catesbeiana (American bullfrog) (Rana catesbeiana)	8400	28218	LITCT	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Amphibia, Batrachia, Anura, Neobatrachia, Ranoidea, Ranidae, Rana, Aquarana	Mitochondrion; Unassembled WGS sequence	GCA_002284835.2
UP000001568	Ostreococcus lucimarinus (strain CCE9901) (Strain: CCE9901)	436017	7403	OSTLU	Eukaryota, Viridiplantae, Chlorophyta, prasinophytes, Mamiellophyceae, Mamiellales, Bathycoccaceae, Ostreococcus, unclassified Ostreococcus	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21	GCA_000092065.1
UP000250321	Prunus yedoensis var. nudiflora (Strain: cv. Jeju island)	2094558	40375		Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliophyta, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Rosales, Rosaceae, Amygdaloideae, Amygdaleae, Prunus	Unassembled WGS sequence	GCA_002966975.1
UP000053110	Blumeria graminis f. sp. tritici 96224 (Strain: 96224)	1268274	4024		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Leotiomycetes, Erysiphales, Erysiphaceae, Blumeria	Unassembled WGS sequence	GCA_000418435.1
UP000054481	Hirsutella minnesotensis 3608 (Strain: 3608)	1043627	9072		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreomycetidae, Hypocreales, Ophiocordycipitaceae, Hirsutella	Unassembled WGS sequence	GCA_000956045.1
UP000002866	Tetrapisispora blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7) (Yeast) (Kluyveromyces blattae) (Strain: ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7)	1071380	5385	TETBL	Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Tetrapisispora	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10	GCA_000315915.1
UP000005666	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii) (Strain: ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5)	1071381	5238	TETPH	Eukaryota, Fungi, Dikarya, Ascomycota, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Tetrapisispora	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Unplaced scaffold 17	GCA_000236905.1
UP000015100	Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum) (Strain: CBS 200.50)	1284197	10959	DACHA	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Orbiliomycetes, Orbiliales, Orbiliaceae, Dactylellina	Unassembled WGS sequence	GCA_000441935.1
UP000189705	Alligator sinensis (Chinese alligator)	38654	24778	ALLSI	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Archosauria, Crocodylia, Alligatoridae, Alligatorinae, Alligator	Genome assembly	GCF_000455745.1
UP000029288	Pseudogymnoascus sp. VKM F-4513 (FW-928) (Strain: VKM F-4513 (FW-928))	1420907	8667		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Leotiomycetes, Leotiomycetes incertae sedis, Pseudeurotiaceae, Pseudogymnoascus	Unassembled WGS sequence	GCA_000750755.1
UP000239649	Micractinium conductrix (Strain: SAG 241.80)	554055	9815		Eukaryota, Viridiplantae, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae, Micractinium	Unassembled WGS sequence	GCA_002245815.2
UP000242474	Coemansia reversa (strain ATCC 12441 / NRRL 1564) (Strain: NRRL 1564)	763665	7317	COERN	Eukaryota, Fungi, Fungi incertae sedis, Zoopagomycota, Kickxellomycotina, Kickxellomycetes, Kickxellales, Kickxellaceae, Coemansia	Unassembled WGS sequence	GCA_002705745.1
UP000241462	Coniella lustricola (Strain: B22-T-1)	2025994	11309		Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Sordariomycetidae, Diaporthales, Schizoparmaceae, Coniella	Unassembled WGS sequence	GCA_003019895.1
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	14943	RHOPR	Eukaryota, Metazoa, Ecdysozoa, Arthropoda, Hexapoda, Insecta, Pterygota, Neoptera, Paraneoptera, Hemiptera, Heteroptera, Panheteroptera, Cimicomorpha, Reduviidae, Triatominae, Rhodnius	Unassembled WGS sequence	GCA_000181055.3
